Wed, 14 Sep 2016 16:16:15 DEBUG    {u'element-uri': u'/api/partitions/673cfa14-7a59-11e6-b4cb-42f2e9ef1641/nics/29ba2288-7a5f-11e6-a8fe-42f2e9ef1641', u'name': u'jkqeurji4jtfkccm', u'parent': u'/api/partitions/673cfa14-7a59-11e6-b4cb-42f2e9ef1641', u'element-id': u'29ba2288-7a5f-11e6-a8fe-42f2e9ef1641', u'device-number': u'0010', u'virtual-switch-uri': u'/api/virtual-switches/3e82cc56-57be-11e6-b930-42f2e9ef1641', u'type': u'osd', u'class': u'nic', u'description': u''}
Wed, 14 Sep 2016 16:16:15 DEBUG    [<CreateTemplate.Object instance at 0x7f5793317b48>]
Wed, 14 Sep 2016 16:16:15 INFO     <-getNicList
Wed, 14 Sep 2016 16:16:15 DEBUG    /api/partitions/673cfa14-7a59-11e6-b4cb-42f2e9ef1641/nics/f1ede0b0-7a5e-11e6-a8fe-42f2e9ef1641
Wed, 14 Sep 2016 16:16:15 DEBUG    {u'element-uri': u'/api/partitions/673cfa14-7a59-11e6-b4cb-42f2e9ef1641/nics/f1ede0b0-7a5e-11e6-a8fe-42f2e9ef1641', u'name': u'hgh', u'parent': u'/api/partitions/673cfa14-7a59-11e6-b4cb-42f2e9ef1641', u'element-id': u'f1ede0b0-7a5e-11e6-a8fe-42f2e9ef1641', u'device-number': u'0004', u'virtual-switch-uri': u'/api/virtual-switches/3e82cc56-57be-11e6-b930-42f2e9ef1641', u'type': u'osd', u'class': u'nic', u'description': u''}
Wed, 14 Sep 2016 16:16:15 DEBUG    [<CreateTemplate.Object instance at 0x7f5793317b48>, <CreateTemplate.Object instance at 0x7f57932f1f38>]
Wed, 14 Sep 2016 16:16:15 INFO     <-getNicList
Wed, 14 Sep 2016 16:16:15 DEBUG    /api/partitions/673cfa14-7a59-11e6-b4cb-42f2e9ef1641/nics/0e3777ae-7a5f-11e6-a8fe-42f2e9ef1641
Wed, 14 Sep 2016 16:16:16 DEBUG    {u'element-uri': u'/api/partitions/673cfa14-7a59-11e6-b4cb-42f2e9ef1641/nics/0e3777ae-7a5f-11e6-a8fe-42f2e9ef1641', u'name': u'dfjhjqhfj', u'parent': u'/api/partitions/673cfa14-7a59-11e6-b4cb-42f2e9ef1641', u'element-id': u'0e3777ae-7a5f-11e6-a8fe-42f2e9ef1641', u'device-number': u'000a', u'virtual-switch-uri': u'/api/virtual-switches/3e82cc56-57be-11e6-b930-42f2e9ef1641', u'type': u'osd', u'class': u'nic', u'description': u''}
Wed, 14 Sep 2016 16:16:16 DEBUG    [<CreateTemplate.Object instance at 0x7f5793317b48>, <CreateTemplate.Object instance at 0x7f57932f1f38>, <CreateTemplate.Object instance at 0x7f57933176c8>]
Wed, 14 Sep 2016 16:16:16 INFO     <-getNicList
Wed, 14 Sep 2016 16:16:16 DEBUG    /api/partitions/673cfa14-7a59-11e6-b4cb-42f2e9ef1641/nics/47fe458a-7a5f-11e6-a8fe-42f2e9ef1641
